DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      I1850Clm50BgcCropSoudzi_grid  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                          -11.668
ACTUAL_IMMOB(TgN/y) Actual Immobilization                                 -5.585
GROSS_NMIN(TgN/y) Gross N Mineralization                                  -9.568
NET_NMIN(TgN/y) Net N Mineralization                                      -3.985
NDEPLOY(TgN/y) Total N Deployed in New Growth                             -7.631
RETRANSN_TO_NPOOL(TgN/y) Retranslocated N to NPool                         0.157
SMINN_TO_NPOOL(TgN/y) Mineral N to NPool                                  -7.314
DENIT(TgN/y) Total Denitrification                                         3.906
SOIL3N(TgN) soil organic matter N (slow pool)                             -3.297
SOIL4N(TgN) Soil organic matter N (slowest pool)                        -999.000
NFIX_TO_SMINN(TgN/y) nitrogen fixation                                  -999.000
NAM(TgN/y) AM-associated N uptake flux                                     4.710
NECM(TgN/y) ECM-associated N uptake flux                                  -5.250
NFIX(TgN/y) Symbiotic BNF uptake flux                                      0.821
NRETRANS(TgN/y) Retranslocated N uptake flux                              -0.316
NPP_NUPTAKE(PgC/y) total carbon used by N uptake in FUN                   -0.001
NUPTAKE_FRACTION(NA) NPP_NUPTAKE/(NPP_NUPTAKE+NPP)                         0.001
FFIX_TO_SMINN(TgN/y) free living N fixation to soil mineral N             -0.036
NPP_NFIX(PgC/y) Symbiotic BNF uptake used C                                0.009
NPP_NACTIVE(PgC/y) Mycorrhizal N uptake used C                             0.128
NPP_NRETRANS(PgC/y) retranslocated N uptake flux                           0.001
SUPPLEMENT_TO_SMINN(TgN/y) supplement to mineral nitrogen                  0.000
SMINN_LEACHED(TgN/y) Nitrogen Leached                                   -999.000
SMIN_NO3_LEACHED(TgN/y) Soil NO3 pool loss to leaching                     0.147
SMIN_NO3_RUNOFF(TgN/y) Soil NO3 pool loss to runoff                        0.360
SMINN(TgN) soil mineral N                                                 -5.056
RETRANSN(TgN) plant pool of retranslocated N                               0.520
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                      -0.006
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                         -0.002
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                      -0.244
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                         -0.112
FAREA_BURNED(proportion/y) fractional area burned                          0.000
BAF_CROP(proportion/y) fractional area burned - crop                       0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                                0.003
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.125
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.124
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.106
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.105
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.113
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.226
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.076
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                          0.123
WOODC_ALLOC(PgC/y) Wood C Allocation                                       0.010
WOODC_LOSS(PgC/y) Wood C Loss                                              0.007
