DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      I1850Clm50BgcCropSulman  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
CH4_SURF_AERE_UNSAT(Tmol/y) aerenchyma sfc CH4 flx-non-inundated area     -0.051
CH4_SURF_DIFF_SAT(Tmol/y) diffusive sfc CH4 flx-inundated/lake area       -0.003
CH4_SURF_DIFF_UNSAT(Tmol/y) diffusive sfc CH4 flx-non-inundated area      -0.001
CH4_SURF_EBUL_SAT(Tmol/y) ebullition sfc CH4 flx-inundated/lake area      -0.007
CH4_SURF_EBUL_UNSAT(Tmol/y) ebullition sfc CH4 flx-non-inundated area      0.000
LEAFC(PgC) leaf carbon                                                    -0.065
XSMRPOOL(PgC) Temporary Photosynthate C Pool                               0.032
SOIL3C(PgC) Soil organic matter C (slow pool)                             -0.066
SOIL4C(PgC) Soil organic matter C (slowest pool)                        -999.000
FROOTC(PgC) fine root carbon                                              -0.090
LIVESTEMC(PgC) live stem C                                                -0.006
DEADSTEMC(PgC) dead stem carbon                                           -0.103
LIVECROOTC(PgC) live coarse root carbon                                   -0.001
DEADCROOTC(PgC) dead coarse root carbon                                   -0.041
CPOOL(PgC) temporary photosynthate C pool                                  0.000
TOTVEGC(PgC) total vegetation C, excluding cpool                          -0.568
CWDC(PgC) coarse woody debris carbon                                      -0.084
TOTLITC(PgC) total litter carbon                                          -0.349
TOTLITC_1m(PgC) total litter carbon to 1m depth                           -0.348
TOTSOMC(PgC) total SOM carbon                                             -1.621
TOTSOMC_1m(PgC) total SOM carbon to 1 meter depth                         -1.612
TOTLITN(TgN) total litter N                                               -9.619
TOTLITN_1m(TgN) total litter N to 1m depth                                -9.595
TOTSOMN(TgN) total soil organic matter N                                -149.828
TOTSOMN_1m(TgN) total soil organic matter N to 1m depth                 -149.227
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool                -2.618
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                        -2.581
FPG(proportion) fraction of potential GPP                               -999.000
FPI(proportion) fraction of potential immobilization                       0.002
NDEP_TO_SMINN(TgN/y) nitrogen deposition                                   0.000
FERT(TgN/y) fertilizer added                                            -999.000
FERT_TO_SMINN(TgN/y) fertilizer to soil mineral N                       -999.000
NFERTILIZATION(TgN/y) fertilizer added                                    -0.000
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                          -15.214
ACTUAL_IMMOB(TgN/y) Actual Immobilization                                 -9.435
GROSS_NMIN(TgN/y) Gross N Mineralization                                 -16.814
NET_NMIN(TgN/y) Net N Mineralization                                      -7.376
NDEPLOY(TgN/y) Total N Deployed in New Growth                            -13.658
RETRANSN_TO_NPOOL(TgN/y) Retranslocated N to NPool                         0.188
SMINN_TO_NPOOL(TgN/y) Mineral N to NPool                                 -12.981
DENIT(TgN/y) Total Denitrification                                         6.772
SOIL3N(TgN) soil organic matter N (slow pool)                             -6.133
SOIL4N(TgN) Soil organic matter N (slowest pool)                        -999.000
NFIX_TO_SMINN(TgN/y) nitrogen fixation                                  -999.000
NAM(TgN/y) AM-associated N uptake flux                                     7.305
NECM(TgN/y) ECM-associated N uptake flux                                 -10.239
NFIX(TgN/y) Symbiotic BNF uptake flux                                      1.494
NRETRANS(TgN/y) Retranslocated N uptake flux                              -0.676
NPP_NUPTAKE(PgC/y) total carbon used by N uptake in FUN                    0.213
NUPTAKE_FRACTION(NA) NPP_NUPTAKE/(NPP_NUPTAKE+NPP)                         0.005
FFIX_TO_SMINN(TgN/y) free living N fixation to soil mineral N             -0.078
NPP_NFIX(PgC/y) Symbiotic BNF uptake used C                                0.016
NPP_NACTIVE(PgC/y) Mycorrhizal N uptake used C                             0.355
NPP_NRETRANS(PgC/y) retranslocated N uptake flux                           0.001
SUPPLEMENT_TO_SMINN(TgN/y) supplement to mineral nitrogen                  0.000
SMINN_LEACHED(TgN/y) Nitrogen Leached                                   -999.000
SMIN_NO3_LEACHED(TgN/y) Soil NO3 pool loss to leaching                     0.262
SMIN_NO3_RUNOFF(TgN/y) Soil NO3 pool loss to runoff                        0.563
SMINN(TgN) soil mineral N                                                 -9.016
RETRANSN(TgN) plant pool of retranslocated N                              -0.074
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                      -0.042
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                         -0.026
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                      -0.766
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                         -0.489
FAREA_BURNED(proportion/y) fractional area burned                         -0.001
BAF_CROP(proportion/y) fractional area burned - crop                       0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                               -0.007
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.211
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.210
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.169
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.169
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.195
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.389
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.134
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                         -0.149
WOODC_ALLOC(PgC/y) Wood C Allocation                                      -0.032
WOODC_LOSS(PgC/y) Wood C Loss                                             -0.011
