DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      IHistClm50BgcSteidinger  (yrs 2000-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 2000-2010)
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                               -0.071
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.274
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.276
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.186
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.187
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.259
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.519
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.249
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                         -1.991
WOODC_ALLOC(PgC/y) Wood C Allocation                                      -0.110
WOODC_LOSS(PgC/y) Wood C Loss                                             -0.089
