DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      I1850Clm50BgcCropStein_grid  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
GROSS_NMIN(TgN/y) Gross N Mineralization                                 -11.717
NET_NMIN(TgN/y) Net N Mineralization                                      -4.459
NDEPLOY(TgN/y) Total N Deployed in New Growth                             -8.669
RETRANSN_TO_NPOOL(TgN/y) Retranslocated N to NPool                         0.149
SMINN_TO_NPOOL(TgN/y) Mineral N to NPool                                  -8.417
DENIT(TgN/y) Total Denitrification                                         3.704
SOIL3N(TgN) soil organic matter N (slow pool)                             -4.688
SOIL4N(TgN) Soil organic matter N (slowest pool)                        -999.000
NFIX_TO_SMINN(TgN/y) nitrogen fixation                                  -999.000
NAM(TgN/y) AM-associated N uptake flux                                    -8.795
NECM(TgN/y) ECM-associated N uptake flux                                   9.972
NFIX(TgN/y) Symbiotic BNF uptake flux                                      0.633
NRETRANS(TgN/y) Retranslocated N uptake flux                              -0.253
NPP_NUPTAKE(PgC/y) total carbon used by N uptake in FUN                   -0.149
NUPTAKE_FRACTION(NA) NPP_NUPTAKE/(NPP_NUPTAKE+NPP)                        -0.000
FFIX_TO_SMINN(TgN/y) free living N fixation to soil mineral N             -0.062
NPP_NFIX(PgC/y) Symbiotic BNF uptake used C                                0.006
NPP_NACTIVE(PgC/y) Mycorrhizal N uptake used C                             0.017
NPP_NRETRANS(PgC/y) retranslocated N uptake flux                           0.001
SUPPLEMENT_TO_SMINN(TgN/y) supplement to mineral nitrogen                  0.000
SMINN_LEACHED(TgN/y) Nitrogen Leached                                   -999.000
SMIN_NO3_LEACHED(TgN/y) Soil NO3 pool loss to leaching                     0.426
SMIN_NO3_RUNOFF(TgN/y) Soil NO3 pool loss to runoff                        0.595
SMINN(TgN) soil mineral N                                                  5.638
RETRANSN(TgN) plant pool of retranslocated N                               3.120
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                      -0.005
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                         -0.002
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                      -0.262
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                         -0.112
FAREA_BURNED(proportion/y) fractional area burned                          0.000
BAF_CROP(proportion/y) fractional area burned - crop                       0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                                0.008
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.132
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.132
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.154
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.153
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.143
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.285
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.091
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                          0.360
WOODC_ALLOC(PgC/y) Wood C Allocation                                       0.028
WOODC_LOSS(PgC/y) Wood C Loss                                              0.017
