DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      IHistClm50BgcSteidinger  (yrs 1851-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 1851-2010)
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                               -0.048
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.281
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.280
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.189
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.189
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.253
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.506
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.244
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                         -1.576
WOODC_ALLOC(PgC/y) Wood C Allocation                                      -0.076
WOODC_LOSS(PgC/y) Wood C Loss                                             -0.055
