DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      I1850Clm50BgcCropSulman_grid  (yrs 2000-2010)
 
REFERENCE CASE (case2): I1850Clm50BgcCrop  (yrs 2000-2010)
LEAFC(PgC) leaf carbon                                                    -0.045
XSMRPOOL(PgC) Temporary Photosynthate C Pool                               0.021
SOIL3C(PgC) Soil organic matter C (slow pool)                             -0.050
SOIL4C(PgC) Soil organic matter C (slowest pool)                        -999.000
FROOTC(PgC) fine root carbon                                              -0.052
LIVESTEMC(PgC) live stem C                                                -0.002
DEADSTEMC(PgC) dead stem carbon                                            0.139
LIVECROOTC(PgC) live coarse root carbon                                    0.001
DEADCROOTC(PgC) dead coarse root carbon                                    0.056
CPOOL(PgC) temporary photosynthate C pool                                  0.000
TOTVEGC(PgC) total vegetation C, excluding cpool                          -0.096
CWDC(PgC) coarse woody debris carbon                                       0.020
TOTLITC(PgC) total litter carbon                                          -0.218
TOTLITC_1m(PgC) total litter carbon to 1m depth                           -0.217
TOTSOMC(PgC) total SOM carbon                                             -1.241
TOTSOMC_1m(PgC) total SOM carbon to 1 meter depth                         -1.237
TOTLITN(TgN) total litter N                                               -5.378
TOTLITN_1m(TgN) total litter N to 1m depth                                -5.369
TOTSOMN(TgN) total soil organic matter N                                -114.531
TOTSOMN_1m(TgN) total soil organic matter N to 1m depth                 -114.281
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool                -1.528
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                        -1.509
FPG(proportion) fraction of potential GPP                               -999.000
FPI(proportion) fraction of potential immobilization                       0.001
NDEP_TO_SMINN(TgN/y) nitrogen deposition                                   0.000
FERT(TgN/y) fertilizer added                                            -999.000
FERT_TO_SMINN(TgN/y) fertilizer to soil mineral N                       -999.000
NFERTILIZATION(TgN/y) fertilizer added                                    -0.000
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                          -12.371
ACTUAL_IMMOB(TgN/y) Actual Immobilization                                 -7.650
GROSS_NMIN(TgN/y) Gross N Mineralization                                 -13.386
NET_NMIN(TgN/y) Net N Mineralization                                      -5.740
NDEPLOY(TgN/y) Total N Deployed in New Growth                             -9.625
RETRANSN_TO_NPOOL(TgN/y) Retranslocated N to NPool                         0.175
SMINN_TO_NPOOL(TgN/y) Mineral N to NPool                                  -9.494
DENIT(TgN/y) Total Denitrification                                         5.052
SOIL3N(TgN) soil organic matter N (slow pool)                             -4.664
SOIL4N(TgN) Soil organic matter N (slowest pool)                        -999.000
NFIX_TO_SMINN(TgN/y) nitrogen fixation                                  -999.000
NAM(TgN/y) AM-associated N uptake flux                                     7.707
NECM(TgN/y) ECM-associated N uptake flux                                 -11.338
NFIX(TgN/y) Symbiotic BNF uptake flux                                      1.178
NRETRANS(TgN/y) Retranslocated N uptake flux                              -0.129
NPP_NUPTAKE(PgC/y) total carbon used by N uptake in FUN                   -0.025
NUPTAKE_FRACTION(NA) NPP_NUPTAKE/(NPP_NUPTAKE+NPP)                        -0.000
FFIX_TO_SMINN(TgN/y) free living N fixation to soil mineral N             -0.049
NPP_NFIX(PgC/y) Symbiotic BNF uptake used C                                0.012
NPP_NACTIVE(PgC/y) Mycorrhizal N uptake used C                             0.117
NPP_NRETRANS(PgC/y) retranslocated N uptake flux                           0.001
SUPPLEMENT_TO_SMINN(TgN/y) supplement to mineral nitrogen                  0.000
SMINN_LEACHED(TgN/y) Nitrogen Leached                                   -999.000
SMIN_NO3_LEACHED(TgN/y) Soil NO3 pool loss to leaching                     0.214
SMIN_NO3_RUNOFF(TgN/y) Soil NO3 pool loss to runoff                        0.435
SMINN(TgN) soil mineral N                                                -19.328
RETRANSN(TgN) plant pool of retranslocated N                              -0.094
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                      -0.002
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                         -0.000
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                      -0.178
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                         -0.090
FAREA_BURNED(proportion/y) fractional area burned                          0.000
BAF_CROP(proportion/y) fractional area burned - crop                       0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                                0.005
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.161
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.161
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.141
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.140
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.153
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.302
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.107
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                          0.194
WOODC_ALLOC(PgC/y) Wood C Allocation                                       0.018
WOODC_LOSS(PgC/y) Wood C Loss                                              0.011
