DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      IHistClm50BgcSulman_v2  (yrs 2000-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 2000-2010)
NFIX_TO_SMINN(TgN/y) nitrogen fixation                                  -999.000
NAM(TgN/y) AM-associated N uptake flux                                    -0.105
NECM(TgN/y) ECM-associated N uptake flux                                   0.063
NFIX(TgN/y) Symbiotic BNF uptake flux                                     -0.031
NRETRANS(TgN/y) Retranslocated N uptake flux                              -0.090
NPP_NUPTAKE(PgC/y) total carbon used by N uptake in FUN                    0.050
NUPTAKE_FRACTION(NA) NPP_NUPTAKE/(NPP_NUPTAKE+NPP)                         0.000
FFIX_TO_SMINN(TgN/y) free living N fixation to soil mineral N             -0.040
NPP_NFIX(PgC/y) Symbiotic BNF uptake used C                               -0.001
NPP_NACTIVE(PgC/y) Mycorrhizal N uptake used C                             0.042
NPP_NRETRANS(PgC/y) retranslocated N uptake flux                          -0.000
SUPPLEMENT_TO_SMINN(TgN/y) supplement to mineral nitrogen                  0.000
SMINN_LEACHED(TgN/y) Nitrogen Leached                                   -999.000
SMIN_NO3_LEACHED(TgN/y) Soil NO3 pool loss to leaching                     0.005
SMIN_NO3_RUNOFF(TgN/y) Soil NO3 pool loss to runoff                        0.028
SMINN(TgN) soil mineral N                                                -58.799
RETRANSN(TgN) plant pool of retranslocated N                              -0.005
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                      -0.025
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                         -0.020
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                      -0.399
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                         -0.301
FAREA_BURNED(proportion/y) fractional area burned                         -0.000
BAF_CROP(proportion/y) fractional area burned - crop                      -0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                                0.006
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.087
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.088
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.059
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.059
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.074
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.146
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.077
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                          0.379
WOODC_ALLOC(PgC/y) Wood C Allocation                                      -0.003
WOODC_LOSS(PgC/y) Wood C Loss                                             -0.000
