DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      IHistClm50BgcSulman  (yrs 1851-2010)
 
REFERENCE CASE (case2): IHistClm50Bgc  (yrs 1851-2010)
FFIX_TO_SMINN(TgN/y) free living N fixation to soil mineral N             -0.085
NPP_NFIX(PgC/y) Symbiotic BNF uptake used C                                0.019
NPP_NACTIVE(PgC/y) Mycorrhizal N uptake used C                             0.451
NPP_NRETRANS(PgC/y) retranslocated N uptake flux                           0.002
SUPPLEMENT_TO_SMINN(TgN/y) supplement to mineral nitrogen                  0.000
SMINN_LEACHED(TgN/y) Nitrogen Leached                                   -999.000
SMIN_NO3_LEACHED(TgN/y) Soil NO3 pool loss to leaching                     0.016
SMIN_NO3_RUNOFF(TgN/y) Soil NO3 pool loss to runoff                        0.060
SMINN(TgN) soil mineral N                                                -69.614
RETRANSN(TgN) plant pool of retranslocated N                              -0.091
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                      -0.018
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                         -0.013
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                      -0.587
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                         -0.409
FAREA_BURNED(proportion/y) fractional area burned                         -0.000
BAF_CROP(proportion/y) fractional area burned - crop                      -0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                                0.032
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.318
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.318
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.213
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.213
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.258
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.509
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.245
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                          1.311
WOODC_ALLOC(PgC/y) Wood C Allocation                                       0.043
WOODC_LOSS(PgC/y) Wood C Loss                                              0.038
