DIAG SET 5: CN ANNUAL MEANS OVER LAND - DIFFERENCE (case1 - case2)
 
TEST CASE (case1):      ISSP585Clm50BgcCrop_myc  (yrs 2016-2075)
 
REFERENCE CASE (case2): ISSP585Clm50BgcCrop_all  (yrs 2016-2075)
GROSS_NMIN(TgN/y) Gross N Mineralization                                  -0.389
NET_NMIN(TgN/y) Net N Mineralization                                       0.410
NDEPLOY(TgN/y) Total N Deployed in New Growth                              0.548
RETRANSN_TO_NPOOL(TgN/y) Retranslocated N to NPool                        -0.248
SMINN_TO_NPOOL(TgN/y) Mineral N to NPool                                   0.559
DENIT(TgN/y) Total Denitrification                                        -1.252
SOIL3N(TgN) soil organic matter N (slow pool)                              0.289
SOIL4N(TgN) Soil organic matter N (slowest pool)                        -999.000
NFIX_TO_SMINN(TgN/y) nitrogen fixation                                  -999.000
NAM(TgN/y) AM-associated N uptake flux                                    -6.041
NECM(TgN/y) ECM-associated N uptake flux                                   5.193
NFIX(TgN/y) Symbiotic BNF uptake flux                                     -1.075
NRETRANS(TgN/y) Retranslocated N uptake flux                              -0.010
NPP_NUPTAKE(PgC/y) total carbon used by N uptake in FUN                   -0.009
NUPTAKE_FRACTION(NA) NPP_NUPTAKE/(NPP_NUPTAKE+NPP)                        -0.000
FFIX_TO_SMINN(TgN/y) free living N fixation to soil mineral N              0.005
NPP_NFIX(PgC/y) Symbiotic BNF uptake used C                               -0.009
NPP_NACTIVE(PgC/y) Mycorrhizal N uptake used C                            -0.166
NPP_NRETRANS(PgC/y) retranslocated N uptake flux                          -0.002
SUPPLEMENT_TO_SMINN(TgN/y) supplement to mineral nitrogen                  0.000
SMINN_LEACHED(TgN/y) Nitrogen Leached                                   -999.000
SMIN_NO3_LEACHED(TgN/y) Soil NO3 pool loss to leaching                     0.006
SMIN_NO3_RUNOFF(TgN/y) Soil NO3 pool loss to runoff                        0.055
SMINN(TgN) soil mineral N                                                 -0.426
RETRANSN(TgN) plant pool of retranslocated N                               1.344
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                       0.003
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                          0.001
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                       0.052
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                          0.033
FAREA_BURNED(proportion/y) fractional area burned                          0.000
BAF_CROP(proportion/y) fractional area burned - crop                      -0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                                0.010
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              -0.005
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     -0.006
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    -0.006
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           -0.006
LITTERC(PgC) Total Litter C                                             -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     -0.006
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       -0.011
SOILC(PgC) soil organic matter C (fast pool)                            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         -0.003
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000
WOODC(PgC) Wood C                                                          0.720
WOODC_ALLOC(PgC/y) Wood C Allocation                                       0.035
WOODC_LOSS(PgC/y) Wood C Loss                                              0.015
