DIAG SET 5: CN ANNUAL MEANS OVER LAND
 
TEST CASE (case1):      ISSP585Clm50BgcCrop_myc  (yrs 2016-2075)
TOTSOMN_1m(TgN) total soil organic matter N to 1m depth               121250.758          121257.188
TOTECOSYSC(PgC) total ecosystem C, incl veg but excl cpool              2871.896            2870.841
TOTCOLC(PgC) total ecosystem C, incl veg and cpool                      2866.175            2865.129
FPG(proportion) fraction of potential GPP                               -999.000            -999.000
FPI(proportion) fraction of potential immobilization                       0.960               0.962
NDEP_TO_SMINN(TgN/y) nitrogen deposition                                  96.857              96.857
FERT(TgN/y) fertilizer added                                            -999.000            -999.000
FERT_TO_SMINN(TgN/y) fertilizer to soil mineral N                       -999.000            -999.000
NFERTILIZATION(TgN/y) fertilizer added                                   125.045             125.045
POTENTIAL_IMMOB(TgN/y) Potential Immobilization                         2170.473            2158.283
ACTUAL_IMMOB(TgN/y) Actual Immobilization                               1929.402            1930.203
GROSS_NMIN(TgN/y) Gross N Mineralization                                2903.048            2903.437
NET_NMIN(TgN/y) Net N Mineralization                                     973.648             973.237
NDEPLOY(TgN/y) Total N Deployed in New Growth                           1243.719            1243.170
RETRANSN_TO_NPOOL(TgN/y) Retranslocated N to NPool                         8.737               8.985
SMINN_TO_NPOOL(TgN/y) Mineral N to NPool                                1139.693            1139.134
DENIT(TgN/y) Total Denitrification                                       127.655             128.908
SOIL3N(TgN) soil organic matter N (slow pool)                         128727.172          128726.883
SOIL4N(TgN) Soil organic matter N (slowest pool)                        -999.000            -999.000
NFIX_TO_SMINN(TgN/y) nitrogen fixation                                  -999.000            -999.000
NAM(TgN/y) AM-associated N uptake flux                                    73.691              79.732
NECM(TgN/y) ECM-associated N uptake flux                                  61.094              55.901
NFIX(TgN/y) Symbiotic BNF uptake flux                                     91.655              92.730
NRETRANS(TgN/y) Retranslocated N uptake flux                             104.027             104.036
NPP_NUPTAKE(PgC/y) total carbon used by N uptake in FUN                   26.320              26.329
NUPTAKE_FRACTION(NA) NPP_NUPTAKE/(NPP_NUPTAKE+NPP)                         0.288               0.288
FFIX_TO_SMINN(TgN/y) free living N fixation to soil mineral N             38.367              38.362
NPP_NFIX(PgC/y) Symbiotic BNF uptake used C                                0.805               0.815
NPP_NACTIVE(PgC/y) Mycorrhizal N uptake used C                            18.362              18.528
NPP_NRETRANS(PgC/y) retranslocated N uptake flux                           0.058               0.060
SUPPLEMENT_TO_SMINN(TgN/y) supplement to mineral nitrogen                  0.000               0.000
SMINN_LEACHED(TgN/y) Nitrogen Leached                                   -999.000            -999.000
SMIN_NO3_LEACHED(TgN/y) Soil NO3 pool loss to leaching                    11.894              11.888
SMIN_NO3_RUNOFF(TgN/y) Soil NO3 pool loss to runoff                       34.751              34.696
SMINN(TgN) soil mineral N                                               2060.641            2061.067
RETRANSN(TgN) plant pool of retranslocated N                            1507.739            1506.396
COL_CTRUNC(PgC) column-level sink for C truncation                      -999.000            -999.000
PFT_CTRUNC(PgC) pft-level sink for C truncation                         -999.000            -999.000
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000            -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000            -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                       2.275               2.273
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                          1.524               1.523
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                      36.817              36.765
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                         26.567              26.534
FAREA_BURNED(proportion/y) fractional area burned                          0.032               0.032
BAF_CROP(proportion/y) fractional area burned - crop                       0.002               0.002
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000            -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                               10.538              10.528
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              22.029              22.034
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     21.943              21.949
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    16.026              16.032
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           15.967              15.973
LITTERC(PgC) Total Litter C                                             -999.000            -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     26.398              26.404
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       52.082              52.093
SOILC(PgC) soil organic matter C (fast pool)                            -999.000            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         24.813              24.815
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000            -999.000
WOODC(PgC) Wood C                                                        502.162             501.441
WOODC_ALLOC(PgC/y) Wood C Allocation                                      18.405              18.369
WOODC_LOSS(PgC/y) Wood C Loss                                             12.033              12.018
